Model_Type,Dataset,Mutation_Level,Mutate_time,Number_of_Mutants,Number_of_Clusters,Neurons_per_Cluster_param,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.078482151,81,27,6,9,9,9,0.015849829,0.760493827,40.58916402,40.683496
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.064991236,72,24,7,8,8,8,0.013404608,0.759722222,36.28744292,36.36583877
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.067680836,72,24,7,8,8,8,0.014869452,0.759722222,36.17964125,36.26219153
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.067107201,72,24,7,8,8,8,0.014344692,0.759722222,36.36104059,36.44249249
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.067866087,72,24,7,8,8,8,0.014054537,0.759722222,36.70064473,36.78256536
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.069621325,72,24,7,8,8,8,0.014611006,0.759722222,36.4394238,36.52365613
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.066534996,72,24,7,8,8,8,0.014413834,0.759722222,36.82154059,36.90248942
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.059566259,63,21,8,7,7,7,0.01431036,0.780952381,31.481709,31.55558562
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.058781147,63,21,8,7,7,7,0.013830185,0.780952381,31.42761564,31.50022697
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.060039043,63,21,8,7,7,7,0.01376462,0.780952381,31.78818536,31.86198902
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.0594697,63,21,8,7,7,7,0.013768196,0.780952381,31.38424039,31.45747828
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.062114477,63,21,8,7,7,7,0.014968634,0.780952381,31.62379313,31.70087624
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.059235334,63,21,8,7,7,7,0.014094353,0.780952381,31.89559388,31.96892357
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.052467585,54,18,9,6,6,6,0.012880564,0.805555556,27.60092521,27.66627336
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.054037809,54,18,9,6,6,6,0.012578487,0.805555556,27.40790153,27.47451782
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.05317378,54,18,9,6,6,6,0.012524128,0.805555556,27.62804484,27.69374275
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.05159688,54,18,9,6,6,6,0.012598991,0.805555556,27.51670909,27.58090496
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.051467657,54,18,9,6,6,6,0.012703419,0.805555556,27.30799031,27.37216139
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.053809881,54,18,9,6,6,6,0.012172699,0.805555556,27.61476684,27.68074942
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.043969154,45,15,10,5,5,5,0.012233973,0.815555556,22.69264841,22.74885154
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.042847395,45,15,10,5,5,5,0.01272583,0.815555556,22.61955905,22.67513227
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.042882919,45,15,10,5,5,5,0.011855125,0.815555556,22.75907731,22.81381536
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.041695118,45,15,10,5,5,5,0.012658119,0.815555556,22.69753146,22.7518847
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.042611837,45,15,10,5,5,5,0.012436628,0.815555556,22.86644173,22.92149019
examples/fmnist/fcnn-fmnist.keras,fmnist,cluster,0.041355133,45,15,10,5,5,5,0.011756659,0.815555556,22.71123624,22.76434803
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.576592207,678,226,1,120,6,56.5,0.059392452,0.607079646,364.216857,364.8528416
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.586484909,678,226,1,120,6,56.5,0.062210321,0.607079646,363.4340889,364.0827842
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.584948063,678,226,1,120,6,56.5,0.061843157,0.607079646,361.7446668,362.391458
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.581968784,678,226,1,120,6,56.5,0.057088137,0.607079646,366.0381746,366.6772316
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.585481882,678,226,1,120,6,56.5,0.058203459,0.607079646,363.5918927,364.2355781
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.583383799,678,226,1,120,6,56.5,0.058304787,0.607079646,363.1488018,363.7904904
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.284386158,339,113,2,60,3,28.25,0.035993576,0.655162242,179.4918227,179.8122025
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.288613558,339,113,2,60,3,28.25,0.035159826,0.655162242,177.2353582,177.5591316
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.289668083,339,113,2,60,3,28.25,0.037049294,0.655162242,178.1644175,178.4911349
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.291056633,339,113,2,60,3,28.25,0.036360264,0.655162242,179.2639194,179.5913363
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.285830259,339,113,2,60,3,28.25,0.034674644,0.655162242,178.1728818,178.4933867
examples/fmnist/lenet5-fmnist.keras,fmnist,cluster,0.286825657,339,113,2,60,3,28.25,0.034451246,0.655162242,177.8344541,178.155731
