Model_Type,Dataset,Mutable_Layers,Mutation_Level,Mutate_time,Number_of_Mutants,ParHAC_Threshold,Number_of_Clusters,Max_Cluster_Sz,Min_Cluster_Sz,Mean_Cluster_Sz,Cluster_time,Mutation_Score,MS_time,Total_time
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.494553566,531,0.99,530,2,1,1.001886792,6.904333115,0.662139918,445.6282718,535.7166009
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.514388084,531,0.99,530,2,1,1.001886792,7.206560135,0.663292181,448.5093846,531.9115338
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.487944365,531,0.99,530,2,1,1.001886792,7.052104473,0.663292181,445.7577999,529.0630364
examples/emnist/fcnn-emnist.keras,emnist,3,cluster,0.477544546,531,0.99,530,2,1,1.001886792,6.749918461,0.663292181,441.4764581,526.0245166
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.66621232,759,0.1,19,360,1,39.94736842,7.016914606,0.157871736,19.8164165,817.1263089
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.666858196,759,0.1,18,360,1,42.16666667,6.942292929,0.125587239,18.54786682,817.190568
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.664492607,759,0.1,19,360,1,39.94736842,7.048768759,0.465366546,18.99315381,819.6983061
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.662540436,759,0.1,18,360,1,42.16666667,7.03557229,0.876324702,16.93282986,805.5595343
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.664051294,759,0.1,19,360,1,39.94736842,6.896665335,0.856604392,18.10616946,815.9899867
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.648604631,759,0.1,17,360,1,44.64705882,6.791090727,0.597727521,17.63806391,803.495832
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.673285484,759,0.2,98,360,1,7.744897959,6.992439032,0.8474817,72.34706497,815.3133595
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.665831327,759,0.2,95,360,1,7.989473684,6.919001102,0.53151972,69.90553164,816.7515066
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.670087814,759,0.2,96,360,1,7.90625,7.009989023,0.853381405,69.83218908,817.2555137
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.670005083,759,0.2,97,360,1,7.824742268,7.064738274,0.649404567,68.02301908,810.8082824
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.663775682,759,0.2,96,360,1,7.90625,6.951132298,0.586856768,78.0064919,809.275327
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.661352158,759,0.2,95,360,1,7.989473684,7.080506325,0.628864853,67.30277395,806.8883715
examples/emnist/lenet5-emnist.keras,emnist,4,cluster,0.674113035,759,0.3,267,347,1,2.842696629,6.96147275,0.300502567,207.51442,819.3604355
